"filename", "language", "XML", "JSON", "YAML", "Dart", "Markdown", "Groovy", "Properties", "C++", "HTML", "Swift", "comment", "blank", "total"
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/assets/recording_lottie.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Base.lproj/Main.storyboard", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/ios/firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/klomi_klomi.iml", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/api_call/fcm_api.dart", "Dart", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 5, 8, 135
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/ad_apply_controller.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/macbook/flutterDev/flutterProjects/ahmad hassan/klomi-klomi/lib/controllers/adpost_controller.dart", "Dart", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 12, 16, 212
